ID	LENGTH	OVERLAP	ERROR	PVALUE
ERR346600.538	410	92	0.0109	1.1102e-16
ERR346600.539	395	107	0.0000	1.1102e-16
ERR346600.534	395	107	0.0561	1.1102e-16
ERR346600.540	407	95	0.0105	1.1102e-16
ERR346600.541	407	95	0.0105	1.1102e-16
ERR346600.542	386	116	0.0000	1.1102e-16
ERR346600.544	404	98	0.0000	1.1102e-16
ERR346600.545	398	104	0.0000	1.1102e-16
ERR346600.543	392	110	0.0545	1.1102e-16
ERR346600.548	392	110	0.0091	1.1102e-16
ERR346600.546	389	113	0.0000	1.1102e-16
ERR346600.547	395	107	0.0000	1.1102e-16
ERR346600.550	401	101	0.0099	1.1102e-16
ERR346600.549	391	111	0.0090	1.1102e-16
ERR346600.551	395	107	0.0000	1.1102e-16
ERR346600.552	396	106	0.0189	1.1102e-16
ERR346600.553	401	101	0.0000	1.1102e-16
ERR346600.556	392	110	0.1091	1.1102e-16
